Parent Agency No.,No.,Name,Address,City,State,Latitude,Longitude,,
G1029,G1029FP,Conetoe Family Life Center,204 N Railroad St,Conetoe,NC,35.8188198,-77.4588706,,
G1035,G1035FP,ECU Purple Pantry,501 E 10th St,Greenville,NC,35.60536,-77.370086,,
G1036,G1036FP,Emmanuel Community Unison,3501 Speight Seed Farm Rd,Winterville,NC,35.526536,-77.479449,,
G1037,G1037FP,Faith Developmental Community,655 Sussex St,Kinston,NC,35.260061,-77.6480566,,
G1039,G1039BP,First Missionary,201 N Caswell St,LaGrange,NC,35.300878,-77.789733,,
G1041,G1041FP1,Freedom Family Foundation Inc,"313 Clifton St, Suite B",Greenville,NC,35.5899613,-77.3760185,,
G1044,G1044FP,Greater St Peter,886 Will Baker Rd,Kinston,NC,35.221911,-77.579598,,
G1045,G1045FP,Greene County Interfaith,412 Kingold Blvd,Snow Hill,NC,35.4556042,-77.6916177,,
G1046,G1046CH,Greene Lamp,2909 Grainger Station Rd,Kinston,NC,35.316103,-77.513542,,
G1048,G1048FP,Grifton Mission Ministries,6499 N Highland Blvd,Grifton,NC,35.384948,-77.435335,,
G1050,G1050FP,Hands for Humanity CDC,1009 E Bright St,Kinston,NC,35.2570561,-77.5671078,,
G1052,G1052FP,Herring Grove FWB Church,4851 US Hwy 70,Kinston,NC,35.2603449,-77.6612153,,
G1053,G1053FP,Hobgood Citizens Group,401 Beech St,Hobgood,NC,36.025626,-77.397139,,
G1057,G1057MFP,Ivory Hill Baptist Church,4505 Medoc Mountain Rd,Enfield,NC,35.806216,-78.11395,,
G1058,G1058FP,Joseph Provisions,703 Howell St,Greenville,NC,35.5993361,-77.3831022,,
G1060,G1060FP,Kairos Church Ministry,1003 S Lodge St,Wilson,NC,35.715584,-77.921785,,
G1061,G1061GH,Kennedy Baptist Children's Home,2557 Cedar Dell Ln,Kinston,NC,35.255291,-77.694694,,
G1062,G1062FP,Kingdom Care Inc,1701 Staton Mill Rd,Greenville,NC,35.685737,-77.35979,,
G1063,G1063AS,Kingdom Kids Club -,1700 Chestnut St,Greenville,NC,35.604143,-77.388311,,
G1064,G1064FP,Koinonia Christian Center,1405 SW Greenville Blvd,Greenville,NC,35.589831,-77.353776,,
G1066,G1066FP,Living Waters Ministries of,7421 US Hwy 258 S,Pinetops,NC,35.806649,-77.588915,,
G1070,G1070SK,Mary's Kitchen,110 N Independence St,Kinston,NC,35.2604049,-77.5778746,,
G1071,G1071FP,"Bread of Life Ministries, Inc. ",3632 S George St,Farmville,NC,35.5909622,-77.5936552,,
G1072,G1072FP,Mount Calvary Grace & Mercy Street Ministry,411 Watauga Ave,Greenville,NC,35.6059089,-77.3897333,,
G1073,G1073MFP,NEEDS Center,3642 S Lynch St,Fountain,NC,35.6731582,-77.6409612,,
G1075,G1075FP,New Mt Moriah United,4329 Anderson Ave,Farmville,NC,35.5857535,-77.5905077,,
G1080,G1080FP,Optimal Beginnings Inc,1003 Fred Harrison Rd,Snow Hill,NC,35.382034,-77.686103,,
G1080,G1080MFP,Optimal Beginnings Inc,369-B Hwy 13 S,Snow Hill,NC,35.457811,-77.698476,,
G1081,G1081FP,Paradise Outreach,908 W Star St,Greenville,NC,35.568876,-77.442072,,
G1081,G1081TF,Paradise Outreach Ministries,908 W Star,Greenville,NC,35.568876,-77.442072,,
G1082,G1082FP,Pentecostal Temple ,2753 W 5th St,Greenville,NC,35.6203201,-77.4159177,,
G1083,G1083FP,Philippi Church of Christ,3760 Philippi Dr,Greenville,NC,35.6303373,-77.3441904,,
G1085,G1085FP,Project Anna Inc,120 S Skinner St,Greenville,NC,35.6025114,-77.3879837,,
G1086,G1086FP,Regeneration Development,105 SW 1st St. Suite D,Pinetops,NC,35.792952,-77.636545,,
G1087,G1087FP,Rose Hill Free Will Baptist,6236 County Home Rd,Winterville,NC,35.497457,-77.352888,,
G1089,G1089FP,Saints Delight Church of God  in Christ,593 US-64-Alternate W,Bethel,NC,35.757803,-77.39351,,
G1089,G1089TF,Saints Delight Church of God,593 US-64 Alternate W,Bethel,NC,35.815611,-77.369251,,
G1090,G1090BP,Salem United Methodist Church,785 McDonald St,Simpson,NC,35.5750829,-77.2750814,,
G1092,G1092FP,Salvation Army-Greenville,2718 S Memorial Drive,Greenville,NC,35.5893882,-77.3959607,,
G1094,G1094FP,Senior Home Care Services Inc,1001 Hooker Rd,Greenville,NC,35.58569,-77.387524,,
G1095,G1095BP,Sharon United Methodist Church,4106 Sharon Church Rd,Kinston,NC,35.340783,-77.504096,,
G1097,G1097FP,St. James United Methodist,2006 E 6th St,Greenville,NC,35.6054584,-77.3536999,,
G1098,G1098BP,St. Paul's Episcopal Church,401 E Fourth St,Greenville,NC,35.611568,-77.369094,,
G1099,G1099FP,St. Peter Catholic Church,2700 E 4th St,Greenville,NC,35.607072,-77.342451,,
G1100,G1100MFP,St. Marks/ La Guadalupana,106 Reid St SE,Wilson,NC,35.7178451,-77.9014021,,
G1101,G1101FP,St. Paul Church of Christ,4009 Lake Wilson Rd,Wilson,NC,35.7755187,-77.9363922,,
G1102,G1102FP,St. Peter's Development Center,1295 E Mumford Rd,Greenville,NC,35.627601,-77.35489,,
G1103,G1103FP,Staton Mill Road Community,1251 Fleming School Rd,Greenville,NC,35.658345,-77.391351,,
G1105,G1105AS,Straightway Church,627 Boulevard St,Ayden,NC,35.469571,-77.4109247,,
G1107,G1107FP,Tabernacle of God Community,6326 Speight School Rd,Wilson,NC,35.664921,-77.8006682,,
G1107,G1107TF,Tabernacle of God Community,6513 Grimsley Store Rd.,Wilson,NC,35.661616,-77.8013265,,
G1108,G1108FP,Tarboro Community Outreach,701 Cedar Ln,Tarboro,NC,35.896485,-77.5397,,
G1111,G1111FP,The Anointed Ones Church,4271 N Edge Rd,Ayden,NC,35.4687766,-77.4075956,,
G1112,G1112FP,The Memorial Baptist Church,1510 Greenville Blvd SE,Greenville,NC,35.5895748,-77.3500645,,
G1114,G1114FP,The Way of the Cross Outreach,64 Craigmont Ave,Roanoke Rapids,NC,36.447026,-77.699311,,
G1115,G1115AS,Third Street Community Center,600 W Third St,Greenville,NC,35.61446,-77.379646,,
G1115,G1115SK,Third Street Community Center,1209 Chestnut St,Greenville,NC,35.6067455,-77.3831845,,
G1116,G1116FP,Twilight Missionary Baptist,1381 Aurelian Springs Rd,Weldon,NC,36.389787,-77.634671,,
G1117,G1117FP,"Union Mission, Inc",1310 Roanoke Ave,Roanoke Rapids,NC,36.4507265,-77.6597476,,
G1119,G1119FP,Victory & Dominion World,1438 Hwy 13,Snow Hill,NC,35.458315,-77.708264,,
G1120,G1120FP,ECU Health Medical Food Pantry,2100 Stantonsburg Road,Greenville,NC,35.6074352,-77.4032488,,
G1123,G1123FP,Wilson County Interfaith,309 Goldsboro St,Wilson,NC,35.726914,-77.9075746,,
G1123,G1123MFP,Wilson County Interfaith,311 Nash St W,Wilson,NC,35.735468,-77.918645,,
